"","u.dispersal","bf0","bf1","bf2","LDD","mu.est","beta.est","alpha.est","dis.est","mu.inht","dis.inht","beta.inht","alpha.inht","scale.inht","shape.inht","mu.ss","beta.ss","size.ss","mu.sg","alpha.sg","dis.sg","size.sg","beta.sg","scale.sg","shape.sg","aht","bht","sigma","a.switch","b.switch","alpha.as","alpha.ag","dis.as","dis.ag","G.g","P.g","G.s","P.s","a.shape","a.sig","b.shape","b.sig"
"1",3863.238758,1.414214631,0.001380268,-0.124634995,0.382155002,-2.532,-0.8563,-0.02069,0.01597,4.89077349265027,0.949995,-0.115636,0.000996927,0.85832255852987,-0.0993909971963265,0.507833469,-0.019866005,0.137121613,5.34369063391292,-1.53635396613913,0.968756184839367,0.157213732239921,-0.144143183092248,21.2299686041909,0.063966994614958,-0.920527744,0.008530933,0.157882195,-37.57869447,16.5696873,-0.362825469,-0.147630054,1.169292523,1.52006793,-18.58179195,4.995817228,3.175416145,3.217852143,-17.4631183,0.075586117,7.928616388,0.904876267
"2",3868.818729,1.576726252,0.001301671,-0.124426656,0.406975131,-2.12,-1.067,-0.0331,0.2735,4.80440106904828,1.52944,0.242162,-0.00956426,0.889141708224903,-0.0113230365178371,0.238108488,-0.022655196,0.142344834,3.23261669325891,-2.77723671472888,1.06178110747738,0.19699373703725,-0.123562841746746,23.0512849766809,0.222267798934803,-0.830269826,0.007854984,0.167296056,-31.15434902,13.47527216,-0.650832201,-0.172890022,0.963670049,1.925207909,12.14974722,4.885297751,-0.612844085,3.172252877,-6.52784271,0.079152462,-1.873213127,0.883249315
"3",2093.041697,1.252057639,0.001344243,-0.124736694,0.391219947,-2.322,-1.172,-0.02905,0.214,4.99536172992828,1.09788,0.0396948,-0.0679663,0.889641637454081,-0.0692352109063152,0.602899886,-0.045603032,0.129222138,4.47173700270059,-5.66635656378986,1.44037596675269,0.170631830046253,-0.210389776503847,22.8081815077906,0.167119075508386,-0.73628038,0.007569613,0.139536485,-44.83788388,18.91219044,-0.740049404,-0.199211038,0.873108873,1.601274995,2.454883227,4.915712576,-0.149134167,3.270358552,-4.095929095,0.081062943,-3.244712866,0.8780751
"4",2206.466636,1.110104169,0.001367144,-0.124419946,0.41418146,-2.494,-0.7591,-0.01826,0.05288,4.80624127226356,1.66041,-0.11079,-0.0138214,0.824911847326917,0.156175761767341,0.348319946,-0.038994122,0.14947237,3.95008272199427,-5.04754875905361,1.40137450051953,0.155679278502823,-0.140591070622357,22.2864198301014,0.21574768562607,-0.754521133,0.007416447,0.167637951,-54.49066386,23.65529179,-0.511538148,-0.102115785,0.805623737,1.731708491,9.727690778,4.92706974,-0.606706512,3.294298022,-7.868953086,0.071636893,-12.28230208,0.920098965
"5",1981.019783,1.181404225,0.001357882,-0.124096748,0.313814642,-2.848,-0.6233,-0.03932,0.348,4.883331966666,1.45154,-0.42628,-0.0532328,0.929508139656836,0.0925353180960685,0.235763367,-0.041889733,0.156790046,6.18863943043246,-0.647179275303504,0.641956828681811,0.116829126829542,-0.116037945618556,22.0855511677269,0.147807512532138,-0.773768115,0.00765746,0.149380268,-30.10611953,13.06300502,-0.960729381,-0.152567019,0.666001518,1.55164308,12.45542014,4.962792233,-2.01792364,3.22251539,-23.4284953,0.077405443,17.78565002,0.892282692
"6",2332.727573,1.204540215,0.001320586,-0.122508519,0.343305291,-1.897,-0.5673,-0.03636,0.2405,5.0044346961723,1.10786,-0.0364108,-0.0120678,0.91581059554353,-0.0254721759572073,0.428371686,-0.052034062,0.136833661,5.88565361149947,-6.20640841740156,1.42174774132436,0.164879554250225,-0.188195237773033,22.7806939675717,0.144862097688889,-0.760328717,0.007640093,0.153014348,-65.93990712,28.73428708,-1.154903763,-0.027154496,0.814585066,1.645812134,11.55680526,4.912704571,1.099179089,3.324066212,-10.76428029,0.076485676,-13.90004015,0.889449638
"7",1707.700682,1.382041275,0.001327115,-0.125664235,0.314011675,-2.848,-0.7263,-0.03216,0.2395,4.84164679857961,1.25897,0.0279917,-0.0213007,0.943905084916861,-0.0182012798062478,0.237193185,-0.010627057,0.145035586,7.49768382706781,-1.03647168107341,0.847354704817887,0.166740753593901,-0.155741278137926,22.577936058497,0.136128462203161,-0.697370731,0.007370652,0.158980888,-30.07115189,13.53201641,-0.491981218,-0.307334594,0.729846127,1.643965888,-16.95038923,4.937762417,-0.240573741,3.2405399,-25.7160935,0.083955536,0.713475972,0.851526352
"8",3300.725153,1.390831933,0.001337938,-0.12507078,0.375397961,-2.613,-0.653,-0.02588,0.08195,4.75072712387199,1.17164,-0.412302,-0.0856059,0.916912779667658,0.000964201357185219,0.58487827,-0.028580908,0.128775004,3.32879803140083,-2.83617863121186,1.24199662861698,0.208025371813991,-0.193362777229635,22.8905914878527,0.128279832878594,-0.951458997,0.008656251,0.113838722,-27.73374891,12.15396236,-1.128122629,-0.090173438,0.70386822,1.230285569,21.27475427,4.952842993,0.737993598,3.280165695,-14.28386701,0.081318876,1.852371766,0.871283441
"9",2501.384141,1.749534556,0.00132321,-0.123792528,0.427794801,-2.247,-1.286,-0.02691,0.1744,5.0445564449343,0.584562,0.28494,-0.0114174,0.863437091561641,-0.0159521192376519,0.427350514,-0.026180489,0.131220344,6.94687569212871,-3.49142007532397,1.2123843736265,0.188572278129783,-0.165398208175287,21.1965606982944,0.161788856363396,-0.911880979,0.008439077,0.167928545,-43.60279197,19.19700943,-0.402598124,-0.145330926,1.211470629,1.430296527,12.09154655,4.896776701,4.109758029,3.226626556,-4.800516661,0.080470501,8.429142367,0.888363299
"10",4572.749947,2.110120508,0.001331158,-0.124556036,0.380064027,-2.639,-0.6645,-0.04478,0.517,4.9336203379918,1.23605,-0.167424,0.0043873,0.926826357380652,-0.0577464593718253,-0.437928694,-0.041280013,0.195521939,6.2278063195155,-15.7281662750185,1.77651283907108,0.125897093958289,-0.15607017690116,22.333552838806,0.151609975901834,-0.961626116,0.008827905,0.153952554,-32.47108162,14.7037513,-0.235794411,-0.112136717,0.43162431,1.489858439,17.8509967,4.914087071,-2.03612306,3.266000333,-16.59901693,0.078171264,-8.009892108,0.894252785
